sk_produto,id_produto_original,valor_produto,data_inicio_validade,data_fim_validade,flag_ativo
1,P019,1795.7,2025-01-01,2025-01-01 00:00:00,False
2,P010,312.46,2025-01-01,2025-01-01 00:00:00,False
3,P048,36.99,2025-01-01,2025-01-01 00:00:00,False
4,P029,2219.86,2025-01-01,2025-01-01 00:00:00,False
5,P019,2376.48,2025-01-01,2025-01-01 00:00:00,False
6,P012,1919.88,2025-01-01,2025-01-01 00:00:00,False
7,P030,296.22,2025-01-01,2025-01-01 00:00:00,False
8,P038,2541.21,2025-01-01,2025-01-01 00:00:00,False
9,P035,188.88,2025-01-01,2025-01-01 00:00:00,False
10,P037,2673.25,2025-01-01,2025-01-01 00:00:00,False
11,P001,1732.01,2025-01-01,2025-01-01 00:00:00,False
12,P020,1903.62,2025-01-01,2025-01-01 00:00:00,False
13,P028,348.89,2025-01-01,2025-01-01 00:00:00,False
14,P038,189.95,2025-01-01,2025-01-01 00:00:00,False
15,P018,2959.41,2025-01-01,2025-01-01 00:00:00,False
16,P004,438.39,2025-01-01,2025-01-01 00:00:00,False
17,P032,2901.88,2025-01-01,2025-01-01 00:00:00,False
18,P033,1984.21,2025-01-01,2025-01-01 00:00:00,False
19,P046,2424.34,2025-01-01,2025-01-01 00:00:00,False
20,P030,538.45,2025-01-01,2025-01-01 00:00:00,False
21,P014,1441.75,2025-01-01,2025-01-02 00:00:00,False
22,P020,328.16,2025-01-01,2025-01-01 00:00:00,False
23,P036,3019.04,2025-01-01,2025-01-01 00:00:00,False
24,P038,2617.32,2025-01-01,2025-01-01 00:00:00,False
25,P041,1646.4,2025-01-01,2025-01-01 00:00:00,False
26,P005,2501.48,2025-01-01,2025-01-01 00:00:00,False
27,P004,343.12,2025-01-01,2025-01-01 00:00:00,False
28,P032,1159.13,2025-01-01,2025-01-01 00:00:00,False
29,P029,2584.71,2025-01-01,2025-01-01 00:00:00,False
30,P034,1476.72,2025-01-01,2025-01-01 00:00:00,False
31,P050,219.42,2025-01-01,2025-01-01 00:00:00,False
32,P018,4730.58,2025-01-01,2025-01-02 00:00:00,False
33,P036,2285.65,2025-01-01,2025-01-01 00:00:00,False
34,P001,1145.52,2025-01-01,2025-01-01 00:00:00,False
35,P007,228.53,2025-01-01,2025-01-01 00:00:00,False
36,P030,3018.32,2025-01-01,2025-01-01 00:00:00,False
37,P040,1542.65,2025-01-01,2025-01-01 00:00:00,False
38,P044,2282.19,2025-01-01,2025-01-01 00:00:00,False
39,P016,2038.96,2025-01-01,2025-01-01 00:00:00,False
40,P034,307.25,2025-01-01,2025-01-01 00:00:00,False
41,P024,2390.03,2025-01-01,2025-01-01 00:00:00,False
42,P044,1983.87,2025-01-01,2025-01-01 00:00:00,False
43,P034,322.57,2025-01-01,2025-01-01 00:00:00,False
44,P028,475.1,2025-01-01,2025-01-01 00:00:00,False
45,P048,1995.66,2025-01-01,2025-01-01 00:00:00,False
46,P026,312.28,2025-01-01,2025-01-01 00:00:00,False
47,P032,3138.13,2025-01-01,2025-01-01 00:00:00,False
48,P040,17.99,2025-01-01,2025-01-01 00:00:00,False
49,P037,4032.51,2025-01-01,2025-01-02 00:00:00,False
50,P001,948.35,2025-01-01,2025-01-01 00:00:00,False
51,P004,2414.57,2025-01-01,2025-01-01 00:00:00,False
52,P035,2053.82,2025-01-01,2025-01-01 00:00:00,False
53,P010,193.29,2025-01-01,2025-01-01 00:00:00,False
54,P012,244.05,2025-01-01,2025-01-01 00:00:00,False
55,P050,235.72,2025-01-01,2025-01-01 00:00:00,False
56,P019,2621.13,2025-01-01,2025-01-01 00:00:00,False
57,P005,435.19,2025-01-01,2025-01-01 00:00:00,False
58,P010,464.64,2025-01-01,2025-01-01 00:00:00,False
59,P028,388.94,2025-01-01,2025-01-01 00:00:00,False
60,P012,2671.81,2025-01-01,2025-01-01 00:00:00,False
61,P023,1825.29,2025-01-01,2025-01-01 00:00:00,False
62,P020,1875.33,2025-01-01,2025-01-01 00:00:00,False
63,P029,2746.77,2025-01-01,2025-01-01 00:00:00,False
64,P011,420.13,2025-01-01,2025-01-01 00:00:00,False
65,P033,141.98,2025-01-01,2025-01-01 00:00:00,False
66,P032,3187.7,2025-01-01,2025-01-01 00:00:00,False
67,P003,1312.59,2025-01-01,2025-01-02 00:00:00,False
68,P005,4369.59,2025-01-01,2025-01-02 00:00:00,False
69,P011,512.43,2025-01-01,2025-01-02 00:00:00,False
70,P012,396.76,2025-01-01,2025-01-01 00:00:00,False
71,P028,609.17,2025-01-01,2025-01-01 00:00:00,False
72,P008,1395.83,2025-01-01,2025-01-01 00:00:00,False
73,P035,218.08,2025-01-01,2025-01-01 00:00:00,False
74,P028,425.14,2025-01-01,2025-01-01 00:00:00,False
75,P021,2781.66,2025-01-01,2025-01-02 00:00:00,False
76,P038,2691.31,2025-01-01,2025-01-01 00:00:00,False
77,P041,22.49,2025-01-01,2025-01-01 00:00:00,False
78,P035,297.03,2025-01-01,2025-01-01 00:00:00,False
79,P043,217.58,2025-01-01,2025-01-01 00:00:00,False
80,P006,235.5,2025-01-01,2025-01-02 00:00:00,False
81,P043,162.88,2025-01-01,2025-01-02 00:00:00,False
82,P032,2101.13,2025-01-01,2025-01-01 00:00:00,False
83,P009,1344.23,2025-01-01,2025-01-01 00:00:00,False
84,P004,328.56,2025-01-01,2025-01-01 00:00:00,False
85,P020,2708.23,2025-01-01,2025-01-01 00:00:00,False
86,P041,254.32,2025-01-01,2025-01-01 00:00:00,False
87,P019,534.01,2025-01-01,2025-01-01 00:00:00,False
88,P016,2254.57,2025-01-01,2025-01-01 00:00:00,False
89,P028,4742.96,2025-01-01,2025-01-01 00:00:00,False
90,P019,2902.83,2025-01-01,2025-01-01 00:00:00,False
91,P041,166.86,2025-01-01,2025-01-02 00:00:00,False
92,P029,212.66,2025-01-01,2025-01-02 00:00:00,False
